id,zip,gender,birth_year,birth_month,edu_level,inc_level,agegp,zip_str,city,edu_year,income,ln_income,male,female,entry_year,mean_edu_year,size
722123,台南市佳里區,男性,10,6,無(不識字)(跳答7),無收入,70歲及以上,台南市佳里區,台南市,,0,0,1,0,22,6,3
106236,台北市大安區,男性,10,2,小學,1-2萬元以下,70歲及以上,台北市大安區,台北市,6,15000,9.6158056,1,0,22,6,3
510115,彰化縣員林鎮,女性,10,5,無(不識字)(跳答7),無收入,70歲及以上,彰化縣員林鎮,彰化縣,,0,0,0,1,22,6,3
269118,宜蘭縣冬山鄉,女性,11,3,無(不識字)(跳答7),跳答,70歲及以上,宜蘭縣冬山鄉,宜蘭縣,,,,0,1,23,,1
326113,桃園市楊梅區,男性,12,2,自修(識字、私塾)(跳答7),跳答,70歲及以上,桃園市楊梅區,桃園市,,,,1,0,24,,2
801233,高雄市前金區,女性,11,11,其他,拒答,70歲及以上,高雄市前金區,高雄市,,,,0,1,24,,2
302108,新竹縣竹北市,女性,13,2,無(不識字)(跳答7),跳答,70歲及以上,新竹縣竹北市,新竹縣,,,,0,1,25,6,4
302221,新竹縣竹北市,男性,12,12,初職,1萬元以下,70歲及以上,新竹縣竹北市,新竹縣,,5000,8.5171928,1,0,25,6,4
207210,新北市萬里區,女性,12,10,無(不識字)(跳答7),無收入,70歲及以上,新北市萬里區,新北市,,0,0,0,1,25,6,4
222128,新北市深坑區,女性,13,1,小學,無收入,70歲及以上,新北市深坑區,新北市,6,0,0,0,1,25,6,4
437123,台中市大甲區,男性,14,2,初職,拒答,70歲及以上,台中市大甲區,台中市,,,,1,0,26,6,4
222228,新北市深坑區,男性,14,1,小學,無收入,70歲及以上,新北市深坑區,新北市,6,0,0,1,0,26,6,4
510201,彰化縣員林鎮,男性,13,9,其他,跳答,70歲及以上,彰化縣員林鎮,彰化縣,,,,1,0,26,6,4
526208,彰化縣二林鎮,男性,13,9,小學,跳答,70歲及以上,彰化縣二林鎮,彰化縣,6,,,1,0,26,6,4
324213,桃園市平鎮區,女性,15,4,小學,無收入,70歲及以上,桃園市平鎮區,桃園市,6,0,0,0,1,27,6,1
244136,新北市林口區,女性,16,4,無(不識字)(跳答7),跳答,70歲及以上,新北市林口區,新北市,,,,0,1,28,12,3
